Episode Number,Total Reward,Running Average,p,i,d,joint index
237,-2.5322804732699202,-4.137492504122312,19526.021484375,9.86335408015293e-07,78.7860107421875,1
238,-2.5324054003759198,-4.121441633084848,19715.587890625,9.86335408015293e-07,78.38935089111328,1
239,-2.531810734590884,-4.105545324099908,19957.37109375,9.86335408015293e-07,77.76148986816406,1
240,-2.531848689445019,-4.089808357753359,19863.77734375,9.863344985205913e-07,78.20484924316406,1
241,-2.5321052912049318,-4.074231327087874,19916.81640625,9.863334753390518e-07,78.14769744873047,1
242,-2.5323251777528406,-4.058812265594525,20278.904296875,9.863334753390518e-07,76.97891998291016,1
243,-2.532213381728031,-4.043546276755859,20233.56640625,9.863306331681088e-07,77.32997131347656,1
244,-2.5325808240756844,-4.028436622229057,20268.50390625,9.863230161499814e-07,77.38072967529297,1
245,-2.5324125339348615,-4.013476381346115,20291.904296875,9.863230161499814e-07,77.34612274169922,1
246,-2.5319225793903026,-3.9986608433265576,20386.408203125,9.863230161499814e-07,77.16465759277344,1
247,-2.532228032529978,-3.983996515218592,20141.732421875,9.863230161499814e-07,78.22238159179688,1
248,-2.532443360939795,-3.9694809836758043,20213.873046875,9.863230161499814e-07,78.28528594970703,1
249,-2.5328500564702803,-3.955114674403749,20033.15234375,9.863230161499814e-07,79.35356140136719,1
250,-2.5313601192457496,-3.9408771288521685,20104.25390625,9.863344985205913e-07,79.38622283935547,1
251,-2.53295756919137,-3.9267979332555605,20206.6484375,9.863485956884688e-07,79.12757110595703,1
252,-2.5308974096395476,-3.9128389280194003,20357.517578125,9.863485956884688e-07,78.79108428955078,1
253,-2.5323281900687027,-3.899033820639893,20365.458984375,9.863495051831705e-07,78.9542007446289,1
254,-2.530471921870752,-3.8853482016522016,20655.69140625,9.863495051831705e-07,78.08470916748047,1
255,-2.5325261837862887,-3.871819981473543,20720.1484375,9.863559853329207e-07,77.96873474121094,1
256,-2.5326595051807548,-3.8584283767106147,20776.36328125,9.863597369985655e-07,77.84458923339844,1
257,-2.5308794721685,-3.8451528876651935,20619.361328125,9.863523473541136e-07,78.69755554199219,1
258,-2.5316979998353073,-3.8320183387868947,20800.7890625,9.863485956884688e-07,78.30107879638672,1
259,-2.5317990279722493,-3.819016145678748,20835.87109375,9.863485956884688e-07,78.34130096435547,1
260,-2.5311332636219257,-3.80613731685818,20978.931640625,9.863485956884688e-07,78.2032470703125,1
261,-2.53304913198785,-3.7934064350094765,20853.044921875,9.863485956884688e-07,78.92829132080078,1
262,-2.5308953222718897,-3.7807813238821004,20970.94921875,9.863485956884688e-07,78.64863586425781,1
